vendor_action,action
greylist,unknown
blacklist,blocked
blocked,blocked
whitelist,allowed
exemption table,allowed
noted,unknown
removed,unknown
TCP_HIT,allowed
TCP_IMS_HIT,allowed
TCP_MEM_HIT,allowed
TCP_MISS,allowed
TCP_REFRESH_HIT,allowed
TCP_CLIENT_REFRESH_MISS,allowed
TCP_DENIED,blocked
NONE,unknown
