"_time",user,"request_url_hash","anonymized_git_repo"
"2016-09-19T13:39:04.721-0700",chuck,bd0de5e9d4c9661f92eeb124465ba442,"anon_repo_2"
"2016-09-19T13:39:04.334-0700",chuck,0ff95f09f137161f7aedb115ade6fc66,"anon_repo_2"
"2016-09-19T13:39:02.393-0700",chuck,34d98849887426049b7d70af429aa336,"anon_repo_2"
"2016-09-19T13:39:01.342-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_2"
"2016-09-19T13:39:01.301-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_2"
"2016-09-19T13:39:01.300-0700",chuck,1f881f5841065b6e65902fbcc5580a95,"anon_repo_2"
"2016-09-19T13:39:01.288-0700",chuck,0ff95f09f137161f7aedb115ade6fc66,"anon_repo_2"
"2016-09-19T13:39:01.105-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_2"
"2016-09-19T13:39:00.883-0700",chuck,bd0de5e9d4c9661f92eeb124465ba442,"anon_repo_2"
"2016-09-19T13:38:55.794-0700",chuck,06f7f72bc3ea9fec91e0b51fd6d26ae1,"anon_repo_2"
"2016-09-19T13:38:55.622-0700",chuck,ba3e47f810e3a27f3d376e4548605208,"anon_repo_2"
"2016-09-19T13:38:55.482-0700",chuck,0ff95f09f137161f7aedb115ade6fc66,"anon_repo_2"
"2016-09-19T13:39:07.333-0700",chuck,bd0de5e9d4c9661f92eeb124465ba442,"anon_repo_2"
"2016-09-19T13:39:07.332-0700",chuck,bd0de5e9d4c9661f92eeb124465ba442,"anon_repo_2"
"2016-09-19T13:39:06.758-0700",chuck,0ff95f09f137161f7aedb115ade6fc66,"anon_repo_2"
"2016-09-19T13:37:33.744-0700",chuck,34d98849887426049b7d70af429aa336,"anon_repo_2"
"2016-09-19T13:37:33.026-0700",chuck,06f7f72bc3ea9fec91e0b51fd6d26ae1,"anon_repo_2"
"2016-09-19T13:37:32.971-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_2"
"2016-09-19T13:37:32.932-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_2"
"2016-09-19T13:37:32.918-0700",chuck,0ff95f09f137161f7aedb115ade6fc66,"anon_repo_2"
"2016-09-19T13:37:32.809-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_2"
"2016-09-19T13:37:32.806-0700",chuck,653e924f942d646ee2a0906425d9d398,"anon_repo_2"
"2016-09-19T13:37:32.597-0700",chuck,f393158d66b39f8632eb1db0fa62fa95,"anon_repo_2"
"2016-09-19T11:15:31.550-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_3"
"2016-09-19T11:15:31.509-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_3"
"2016-09-19T11:15:31.506-0700",chuck,f548d3946b0707d9f3b0e6bfd858b98e,"anon_repo_3"
"2016-09-19T11:15:31.412-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_3"
"2016-09-19T11:15:31.411-0700",chuck,653e924f942d646ee2a0906425d9d398,"anon_repo_3"
"2016-09-19T11:15:31.154-0700",chuck,cadbbf3a609f0a7dc9a4f16307390f32,"anon_repo_3"
"2016-09-19T14:42:18.879-0700",chuck,67e1ae332138159d20195857cfa03393,"anon_repo_4"
"2016-09-19T14:42:18.838-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_4"
"2016-09-19T14:42:18.792-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_4"
"2016-09-19T14:42:18.790-0700",chuck,c85d9dc8620c0882f3f8af87e9839c2e,"anon_repo_4"
"2016-09-19T14:42:18.651-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_4"
"2016-09-19T14:42:18.574-0700",chuck,67e1ae332138159d20195857cfa03393,"anon_repo_4"
"2016-09-19T14:42:18.451-0700",chuck,8eea3f83393dbda7e0a4384243603e86,"anon_repo_4"
"2016-09-19T14:43:15.088-0700",chuck,e1731a0c409b8c746c9bcd9f3aaa87aa,"anon_repo_4"
"2016-09-19T14:42:45.303-0700",chuck,e1731a0c409b8c746c9bcd9f3aaa87aa,"anon_repo_4"
"2016-09-19T16:04:48.175-0700",chuck,35d35fdb3face6e6dcd1c220e4757bdf,"anon_repo_5"
"2016-09-19T16:04:48.108-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_5"
"2016-09-19T16:04:48.075-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_5"
"2016-09-19T16:04:48.023-0700",chuck,8be883d1c0b67a81c75fb315da7fec4d,"anon_repo_5"
"2016-09-19T16:04:47.906-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_5"
"2016-09-19T16:04:47.684-0700",chuck,35d35fdb3face6e6dcd1c220e4757bdf,"anon_repo_5"
"2016-09-19T16:04:44.097-0700",chuck,0d56858337af64fff7c6b3a176501972,"anon_repo_5"
"2016-09-19T16:04:37.219-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_5"
"2016-09-19T16:04:37.184-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_5"
"2016-09-19T16:04:37.178-0700",chuck,ff4d8c0031965e1b21f99b4af02ea96f,"anon_repo_5"
"2016-09-19T16:04:37.080-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_5"
"2016-09-19T16:04:36.826-0700",chuck,a77649f6962f5698bc459d5e6cc0ec57,"anon_repo_5"
"2016-09-19T14:12:23.337-0700",chuck,2e55af1a046bff9bc689482900cad788,"anon_repo_5"
"2016-09-19T14:12:22.333-0700",chuck,2e55af1a046bff9bc689482900cad788,"anon_repo_5"
"2016-09-19T13:31:09.943-0700",chuck,35d35fdb3face6e6dcd1c220e4757bdf,"anon_repo_5"
"2016-09-19T13:31:09.861-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_5"
"2016-09-19T13:31:09.827-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_5"
"2016-09-19T13:31:09.768-0700",chuck,8be883d1c0b67a81c75fb315da7fec4d,"anon_repo_5"
"2016-09-19T13:31:09.682-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_5"
"2016-09-19T13:31:09.495-0700",chuck,35d35fdb3face6e6dcd1c220e4757bdf,"anon_repo_5"
"2016-09-19T11:22:25.187-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_5"
"2016-09-19T11:22:25.152-0700",chuck,e3e4919006d7d6732fbf6da29340adec,"anon_repo_5"
"2016-09-19T11:22:25.147-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_5"
"2016-09-19T11:22:25.096-0700",chuck,8be883d1c0b67a81c75fb315da7fec4d,"anon_repo_5"
"2016-09-19T11:22:24.977-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_5"
"2016-09-19T11:22:24.730-0700",chuck,e3e4919006d7d6732fbf6da29340adec,"anon_repo_5"
"2016-09-19T11:21:37.289-0700",chuck,cc7f8e5b57d96e3892326649610ef2fc,"anon_repo_5"
"2016-09-19T11:21:37.231-0700",chuck,50038c620ae2b57364056dafe8e3aab9,"anon_repo_5"
"2016-09-19T14:12:18.201-0700",chuck,fe4f1b0ca6ca8a7a17195b27151d43c3,"anon_repo_5"
"2016-09-19T14:12:18.119-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_5"
"2016-09-19T14:12:18.055-0700",chuck,5937d5e7cfb9ce2981adcbba9f7b9384,"anon_repo_5"
"2016-09-19T14:12:18.033-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_5"
"2016-09-19T14:12:18.023-0700",chuck,1f881f5841065b6e65902fbcc5580a95,"anon_repo_5"
"2016-09-19T14:12:17.999-0700",chuck,3430ab53d20c41e52c0b2b8e36d07d9c,"anon_repo_5"
"2016-09-19T14:12:17.983-0700",chuck,75bf016936ab078cf09dc49f906b7e45,"anon_repo_5"
"2016-09-19T14:12:17.948-0700",chuck,03b5d576a3e93a9cb99cc054884bc3af,"anon_repo_5"
"2016-09-19T14:12:17.926-0700",chuck,3e59dc650127a59e892b815c348a0994,"anon_repo_5"
"2016-09-19T14:12:17.817-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_5"
"2016-09-19T14:12:17.518-0700",chuck,2398ba0ccdce87da71c61252d2fde36e,"anon_repo_5"
"2016-09-19T14:12:14.979-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_5"
"2016-09-19T14:12:14.923-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_5"
"2016-09-19T14:12:14.746-0700",chuck,983deb7a844ec3d4dd3c60bd3551671b,"anon_repo_5"
"2016-09-19T14:12:14.621-0700",chuck,72041b5a00c37ef011933d870af48670,"anon_repo_5"
"2016-09-19T14:12:13.342-0700",chuck,22b0b43441e6e5fae6415ac5459c645e,"anon_repo_5"
"2016-09-19T14:12:13.294-0700",chuck,d1f4ea218471741bf4d46f43fb56369a,"anon_repo_5"
