"_time",User,"Page_Count","anonymized_Printer"
"2016-08-24T17:18:25.000-0700",alice,2,"anon_Printer_9"
"2016-08-24T17:18:25.000-0700",alice,2,"anon_Printer_9"
"2016-08-24T17:35:30.000-0700",alice,2,"anon_Printer_9"
"2016-08-24T17:35:30.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T10:18:25.000-0700",alice,1,"anon_Printer_9"
"2016-08-25T10:39:52.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T10:39:52.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T14:17:03.000-0700",alice,4,"anon_Printer_9"
"2016-08-25T14:17:03.000-0700",alice,5,"anon_Printer_9"
"2016-08-25T15:24:19.000-0700",alice,5,"anon_Printer_9"
"2016-08-25T15:24:19.000-0700",alice,4,"anon_Printer_9"
"2016-08-25T15:25:06.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T15:25:06.000-0700",alice,3,"anon_Printer_9"
"2016-08-25T15:25:16.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T15:25:16.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T15:26:00.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T15:26:00.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T16:24:54.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T16:24:54.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T16:43:49.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T16:43:49.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T16:47:40.000-0700",alice,2,"anon_Printer_9"
"2016-08-25T16:47:40.000-0700",alice,2,"anon_Printer_9"
"2016-08-26T09:59:39.000-0700",chuck,21,"anon_Printer_9"
"2016-08-26T09:59:49.000-0700",chuck,4,"anon_Printer_9"
"2016-08-26T12:32:02.000-0700",chuck,2,"anon_Printer_9"
"2016-08-29T08:47:54.000-0700",alice,2,"anon_Printer_9"
"2016-08-29T08:47:54.000-0700",alice,2,"anon_Printer_9"
"2016-08-29T12:24:26.000-0700",chuck,7,"anon_Printer_9"
"2016-08-29T14:02:19.000-0700",chuck,1,"anon_Printer_9"
"2016-08-29T15:27:06.000-0700",alice,26,"anon_Printer_9"
"2016-08-29T15:27:06.000-0700",alice,26,"anon_Printer_9"
"2016-08-29T15:31:14.000-0700",alice,28,"anon_Printer_9"
"2016-08-29T15:31:14.000-0700",alice,29,"anon_Printer_9"
"2016-08-29T15:31:55.000-0700",alice,29,"anon_Printer_9"
"2016-08-29T15:31:55.000-0700",alice,28,"anon_Printer_9"
"2016-08-29T15:50:43.000-0700",alice,6,"anon_Printer_9"
"2016-08-29T15:50:43.000-0700",alice,6,"anon_Printer_9"
"2016-08-29T15:50:55.000-0700",alice,11,"anon_Printer_9"
"2016-08-29T15:50:55.000-0700",alice,10,"anon_Printer_9"
"2016-08-29T16:35:08.000-0700",alice,22,"anon_Printer_9"
"2016-08-29T16:35:08.000-0700",alice,22,"anon_Printer_9"
"2016-08-29T16:35:17.000-0700",alice,2,"anon_Printer_9"
"2016-08-29T16:35:17.000-0700",alice,2,"anon_Printer_9"
"2016-08-29T16:35:27.000-0700",alice,2,"anon_Printer_9"
"2016-08-29T16:35:27.000-0700",alice,2,"anon_Printer_9"
"2016-08-29T19:48:52.000-0700",chuck,3,"anon_Printer_9"
"2016-08-30T08:41:01.000-0700",alice,4,"anon_Printer_9"
