"_time",source,sourcetype,EventCode,EventType,RecordNumber,OpCode,Message,"anonymized_ComputerName"
"2016-09-07T00:38:28.000-0700","WinEventLog:System","WinEventLog:System",20001,4,95850,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-09-07T00:38:28.000-0700","WinEventLog:System","WinEventLog:System",20001,4,95845,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.","anon_ComputerName_3"
"2016-09-07T00:42:17.000-0700","WinEventLog:System","WinEventLog:System",20001,4,104707,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T00:42:18.000-0700","WinEventLog:System","WinEventLog:System",20001,4,104717,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T00:42:19.000-0700","WinEventLog:System","WinEventLog:System",20001,4,104729,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T00:42:19.000-0700","WinEventLog:System","WinEventLog:System",20001,4,104722,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T00:45:56.000-0700","WinEventLog:System","WinEventLog:System",20001,4,233336,Info,"Driver Management concluded the process to install driver FileRepository\disk.inf_amd64_neutral_4d9acdeddbcdfd89\disk.inf for Device Instance ID SCSI\DISK&VEN_DGC&PROD_VRAID\5&1C329EF6&0&000501 with the following status: 0x0.","anon_ComputerName_5"
"2016-09-07T00:45:57.000-0700","WinEventLog:System","WinEventLog:System",20001,4,233344,Info,"Driver Management concluded the process to install driver FileRepository\disk.inf_amd64_neutral_4d9acdeddbcdfd89\disk.inf for Device Instance ID SCSI\DISK&VEN_DGC&PROD_VRAID\5&1C329EF6&0&000500 with the following status: 0x0.","anon_ComputerName_5"
"2016-09-07T00:50:32.000-0700","WinEventLog:System","WinEventLog:System",20001,4,104775,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T00:50:33.000-0700","WinEventLog:System","WinEventLog:System",20001,4,104780,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T01:06:28.000-0700","WinEventLog:System","WinEventLog:System",20001,4,105065,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T01:06:38.000-0700","WinEventLog:System","WinEventLog:System",20001,4,105074,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-07T01:06:41.000-0700","WinEventLog:System","WinEventLog:System",20001,4,105084,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.","anon_ComputerName_4"
"2016-09-12T13:01:45.000-0700","WinEventLog:System","WinEventLog:System",20001,4,140821,Info,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.","anon_ComputerName_2"
"2016-09-14T12:18:58.000-0700","WinEventLog:System","WinEventLog:System",20001,4,68615730,Info,"Driver Management concluded the process to install driver FileRepository\mpio.inf_amd64_neutral_0c74c0f95001b61c\mpio.inf for Device Instance ID ROOT\MPIO\0000 with the following status: 0x0.","anon_ComputerName_1"
"2016-09-14T12:19:00.000-0700","WinEventLog:System","WinEventLog:System",20001,4,68615733,Info,"Driver Management concluded the process to install driver FileRepository\msdsm.inf_amd64_neutral_be2b348981b2ef17\msdsm.inf for Device Instance ID ROOT\MPIO\0001 with the following status: 0x0.","anon_ComputerName_1"
"2016-09-14T12:19:11.000-0700","WinEventLog:System","WinEventLog:System",20001,4,68615739,Info,"Driver Management concluded the process to install driver FileRepository\mppdsm.inf_amd64_neutral_8194895c4d792a17\mppdsm.inf for Device Instance ID ROOT\MPIO\0002 with the following status: 0x0.","anon_ComputerName_1"
"2016-09-14T12:19:17.000-0700","WinEventLog:System","WinEventLog:System",20001,4,68615742,Info,"Driver Management concluded the process to install driver FileRepository\mpputm.inf_amd64_neutral_d0bab9df432820f8\mpputm.inf for Device Instance ID ROOT\MPPUTMDISK\0000 with the following status: 0x0.","anon_ComputerName_1"
"2016-09-18T13:20:19.000-0700","WinEventLog:System","WinEventLog:System",20001,4,21460,Info,"Driver Management concluded the process to install driver FileRepository\wsdscdrv.inf_amd64_neutral_47406488f9e8d5b8\wsdscdrv.inf for Device Instance ID UUID:01BF51F4-1DD2-11B2-A490-8C5B31F1252A\UMB\3&283E3C1&0&HTTP://WSDSERVICEID/2 with the following status: 0xe0000219.","anon_ComputerName_10"
